DIA,MES,AÑO,POSICION ARANCELARIA,DESCRIPCION ARANCELARIA,PRODUCTO,ID IMPORTADOR,IMPORTADOR,"ADUANA, ESTADO, PUERTO",PAIS DE ORIGEN,NRO DOCUMENTO,FOB USD,FOB MXN,TASA DE CAMBIO,PESO TOTAL DECLARACION,CANTIDAD ESTADISTICA,UNIDAD DE MEDIDA ESTADISTICA,CANTIDAD COMERCIAL,UNIDAD COMERCIAL,ID PROVEEDOR,SUPPLIERNAME,PAIS VENDEDOR,FECHA,PESO_KG,USD_KG
24,1,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN POLVO ALLULOSE PODWER,ID_ANONIMO,Importador 2,MANZANILLO MANZANILLO COLIMA.,CHINA,6000472,54287.97,960338,17.68,24200.8,23400,KILOGRAM,23400,Kilogram,ID_ANONIMO,Proveedor 9,CHINA,2026-01-24,23400,2.32
17,1,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN LIQUIDO,ID_ANONIMO,Importador 5,MANZANILLO MANZANILLO COLIMA.,CHINA,6000277,97760.03,1758136,17.98,43328.0,41600,KILOGRAM,41600,Kilogram,ID_ANONIMO,Proveedor 2,UNITED STATES OF AMERICA,2026-01-17,41600,2.35
29,1,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",D ALULOSA CAS 551 68 8 PRESENTADO EN POLVO,ID_ANONIMO,Importador 11,LAZARO CARDENAS LAZARO CARDENAS MICHOACAN.,CHINA,6000171,2871.91,48402,17.6,12551.2,1000,KILOGRAM,1000,Kilogram,ID_ANONIMO,Proveedor 8,CHINA,2026-01-29,1000,2.872
23,1,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN POLVO ALLULOSE CRYSTALLINE POWDER ISOMALTITOL JARABE DE ALULOSA ALLULOSE SYRUP,ID_ANONIMO,Importador 9,MANZANILLO MANZANILLO COLIMA.,CHINA,6000466,50516.02,906904,17.95,19712.0,19200,KILOGRAM,19200,Kilogram,ID_ANONIMO,Proveedor 11,CHINA,2026-01-23,19200,2.631
24,1,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",JARABE DE ALULOSA ALLULOSE SYRUP,ID_ANONIMO,Importador 2,MANZANILLO MANZANILLO COLIMA.,CHINA,6000470,64000.01,1132141,17.68,42400.0,40000,KILOGRAM,40000,Kilogram,ID_ANONIMO,Proveedor 9,CHINA,2026-01-24,40000,1.6
7,1,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",JARABE DE ALULOSA,ID_ANONIMO,Importador 13,MANZANILLO MANZANILLO COLIMA.,CHINA,6000071,8112.01,146026,18.0,31433.0,4800,KILOGRAM,4800,Kilogram,ID_ANONIMO,Proveedor 16,CHINA,2026-01-07,4800,1.69
12,1,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA JARABE,ID_ANONIMO,Importador 4,MANZANILLO MANZANILLO COLIMA.,CHINA,6000464,32.98,593,17.98,20626.0,25,KILOGRAM,25,Kilogram,ID_ANONIMO,Proveedor 17,CHINA,2026-01-12,25,1.319
8,1,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA,ID_ANONIMO,Importador 1,MANZANILLO MANZANILLO COLIMA.,CHINA,6095008,27991.94,437365,17.92,11253.0,8000,KILOGRAM,8000,Kilogram,ID_ANONIMO,Proveedor 6,CHINA,2026-01-08,8000,3.499
17,1,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN LIQUIDO,ID_ANONIMO,Importador 5,MANZANILLO MANZANILLO COLIMA.,CHINA,6000278,48880.01,879068,17.98,42753.0,20800,KILOGRAM,20800,Kilogram,ID_ANONIMO,Proveedor 2,UNITED STATES OF AMERICA,2026-01-17,20800,2.35
20,1,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA,ID_ANONIMO,Importador 15,MANZANILLO MANZANILLO COLIMA.,CHINA,6000675,28680.02,507341,17.68,12096.0,12000,KILOGRAM,12,Tons,ID_ANONIMO,Proveedor 13,CHINA,2026-01-20,12000,2.39
